channelId,channelName,assignedLabel,margin,topScore,secondScore,description
,----- LOWEST MARGINS OVERALL -----,,,,,
UCaIalqLU0cYvTrc-3rKms1w,3DVista,Unclassified,0,0,0,"Welcome to 3DVista's YouTube channel. Here, you can find video tutorials and short clips with tips and tricks for creating panoramas and multimedia virtual tours with 3DVista software. We will help you throughout the whole process of shooting pictures, stitching them into panoramas and converting them into interactive virtual tours. Have a look!"
UCBgc_s9bZcC7_VPC7Qyegfw,4K Clips And Trailers,Unclassified,0,0,0,"A channel by Shrey Tyagi
Short videos in 4K SDR/HDR10/HLG

➢ There are no false labeling, titles show the correct info of originally uploaded file.
➢ Yes, YouTube supports Dolby 5.1, streaming only supported on TV version of YouTube app.
➢ 8K videos are upscaled versions of high bitrate 4K files and look better on YouTube.
➢ 8K HDR is only supported on devices with HDR and AV01 codec decoding enabled.
➢ Video resolution claims can be verified using YouTube-DL. (Google it!)

For copyrighted content removal and business inquiries: 4k@shreytyagi.com"
UCgGpNbEWsZhrtV_62dsUDpQ,7idea Productions,Unclassified,0,0,0,"7idea Productions captures modern-day railroads in the North America. Big diesel engines, majestic steam locomotives and beautiful scenery combine for a thrilling train watching experience."
UCyxcZgX1wNU-nk1yB9CvzSw,Aaron Parnas,Unclassified,0,0,0,
UCBS1b2TF1uuhAomGYpFio7w,Above Ground Pros,Unclassified,0,0,0,"We have specialized strictly with above ground pools for over 27 years.  Our goal is to help above ground pool owners manage their pool as easy, as perfect, and as cost effective as possible, which is definitely possible for above ground pools.  We have noticed over the years that above ground pool owners seem to be left out in the education of their pool, whereas most of the education comes through the inground pool market.  We aim to help change that."
UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,Unclassified,0,0,0,"Founder Acquisition.com, Co-Founder Skool.com. My new book $100M Money Models is out. [3.6M copies sold] Get yours now at https://go.acq.com"
UCv42RmpB6iwadGz6n818l6w,Alter Bridge,Unclassified,0,0,0,"~ The Official Channel Of Alter Bridge ~

What Lies Within Tour ~
Tickets and VIP Experiences are on sale now at https://alterbridge.com"
UCDBrVr0ttWpoRY-_yZajp2Q,alyankovic,Unclassified,0,0,0,Comedy / Parody / Satire
UC34AYD6is66Xpv6HPRB0Miw,AM/PM Podcast,Unclassified,0,12.8,12.8,"Welcome to the AM/PM Podcast Youtube Channel. 

In every corner of the world, people are embracing entrepreneurism. There have never been more opportunities, tools, or methods for building a business that operates on auto-pilot, in the AM and the PM. Join host Tim Jordan as he chats with communities, risk takers and business veterans exploring their stories, journeys and insights. 

Created to get current entrepreneurs, inspiring entrepreneurs or people who just love business, this podcast will dive into business models, financial strategies and income-generating tactics in e-commerce. Get motivated. Get inspired."
